Customer ID,age,workclass,education,marital-status,occupation,relationship,sex,hours-per-week,Response,capital-loss,num-products,capital-gain
1,25,Private,11th,Never-married,Machine-op-inspct,Own-child,Male,40,No,0,7,
2,38,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,50,No,0,9,
3,28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Male,40,Yes,0,12,
4,44,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,40,Yes,0,10,768.8
5,18,?,Some-college,Never-married,?,Own-child,Female,30,No,0,10,
6,34,Private,10th,Never-married,Other-service,Not-in-family,Male,30,No,0,6,
7,29,?,HS-grad,Never-married,?,Unmarried,Male,40,No,0,9,
8,63,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,32,Yes,0,15,310.3
9,24,Private,Some-college,Never-married,Other-service,Unmarried,Female,40,No,0,7,
10,55,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,10,No,0,4,
11,65,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,40,Yes,0,9,641.8
12,36,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,40,No,0,13,
13,26,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,39,No,0,9,
14,58,?,HS-grad,Married-civ-spouse,?,Husband,Male,35,No,0,9,
15,48,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,48,Yes,0,9,310.3
16,43,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,50,Yes,0,14,
17,20,State-gov,Some-college,Never-married,Other-service,Own-child,Male,25,No,0,10,
18,43,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,30,No,0,9,
19,37,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,Female,20,No,0,9,
20,40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,45,Yes,0,16,
21,34,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,47,Yes,0,13,
22,34,Private,Some-college,Never-married,Other-service,Own-child,Female,35,No,0,10,
23,72,?,7th-8th,Divorced,?,Not-in-family,Female,6,No,0,4,
24,25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,43,No,0,13,
25,25,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,40,No,0,13,
26,45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,90,Yes,0,9,729.8
27,22,Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,20,No,0,9,
28,23,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Male,54,No,0,9,
29,54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,35,No,0,9,
30,32,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,Male,60,No,0,10,
